Company Name,Website,Key Products/Services,Funding/Revenue,Regions They Operate In,Countries (<=5),Mentions of AI Training / AI Agents,Decision Maker LinkedIn Profiles
Gojek GoFood,https://www.gojek.com/gofood,"Gojek GoFood is a leading service within Gojek's super app, primarily focused on on demand food delivery , but also encompassing quick commerce (q commerce), grocery delivery, last mile logistics , and support for dark s",Public; consolidated under PT GoTo (IDX:GOTO). Reported Rp 4.32 trillion in net revenue in Q2 2025,APAC,Indonesia,"Gojek GoFood mentions using AI for personalized recommendations and automated menu categorization, and its parent company, GoTo, has developed an AI agent for its ecosystem. While specific details about the training data for GoFood's AI are not public, Gojek has shared high-level information about its AI and machine learning initiatives. ",https://www.linkedin.com/in/michaelangelomoran/
Gopuff,https://www.gopuff.com,"Gopuff specializes in ultra fast delivery of groceries, convenience items, and ready to eat meals by operating a proprietary network of micro fulfillment centers (also known as dark stores ), bypassing third party retail",Private; $5B+ total funding reported; ~2023 revenue est. ~$1.2B,Americas; Europe,United States; United Kingdom,"Gopuff launched an in-house ads platform powered by AI/ML that evaluates 1,000+ real-time variables and a decade of data for audience targeting and bid optimization—indicating mature, production-grade AI systems embedded in commerce/ads operations. Coverage by trade press corroborates the AI claims.",https://www.linkedin.com/in/sreekotay/
Gorillas,https://www.gorillas.io,"Gorillas specialized in ultra fast, urban grocery delivery, providing fresh supermarket essentials to customers in under 10 minutes using a network of strategically located dark stores and bike couriers . Its key service",Raised ≈ $1.3B total; 2022 annualised revenue ~$450M (pre-acquisition).,EMEA; brief U.S. entry,Germany; Netherlands; UK; France; United States (historical),"No credible, brand-owned claims about “training AI agents”. Company was acquired by Getir (Dec 9, 2022) and the Gorillas brand wound down by May 2024; treat as inactive for outreach.",https://www.linkedin.com/in/kagansumer/
GrabFood,https://www.grab.com/food,"GrabFood: Key Products and Services GrabFood is a comprehensive food and grocery delivery platform operated by Grab, Southeast Asia's leading superapp. The service functions as a multi sided platform connecting consumers",Public; consolidated under Grab Holdings (NASDAQ: GRAB),APAC,Indonesia; Singapore; Malaysia; Thailand; Philippines,"Grab documents ML-driven ETA models and platform-wide AI adoption (e.g., internal ML platform Catwalk; 2024 ramp-up in GenAI use). These posts show continuous training/deployment of ML models that power food delivery experiences.",https://www.linkedin.com/in/suthen-thomas-paradatheth-18958b51/
Grubhub,https://www.grubhub.com,Grubhub is a comprehensive delivery platform that has evolved far beyond its core restaurant delivery business to include multiple service categories and delivery models. Primary Services Restaurant Delivery Grubhub's fo,Private; part of Wonder Group (deal announced Nov 2024; closing 2025),Americas,United States,"Grubhub’s engineering blog (“Grubhub Bytes”) details predictive modeling at scale (e.g., order-volume forecasting pipeline on AWS/EMR), evidencing ongoing ML training/deployment. In 2025 they also expanded an autonomous delivery pilot with Avride, indicating active AI/robotics experimentation.",https://www.linkedin.com/in/howard-migdal-90275142/
HungerStation,https://hungerstation.com/sa-ar,"Saudi on-demand platform for food delivery, groceries & convenience; last-mile logistics within KSA ecosystem.",€609 m revenue (FY2022); Delivery Hero took sole ownership in 2023 for ~US$297 m.,EMEA,Saudi Arabia,"No brand-level statement that HungerStation is “training AI agents,” but parent Delivery Hero publicly documents AI/agentic systems (recommendations, vector search, automation) and cloud ML usage across brands; HungerStation also has a Google Cloud case study on optimizing its platform.",https://www.linkedin.com/in/ali-aldamanhori-139a7975/
HungryPanda,https://www.hungrypanda.co/,Diaspora-focused food & Asian grocery delivery across major cities; on-demand logistics,"US$55M round (Sept 30, 2024); >US$275M total funding to date (WSJ); profitability reported in 2024.",Americas; EMEA; APAC,United Kingdom; United States; Australia; Japan; Singapore,"Public materials emphasize platform scaling; no explicit, credible claim that the company is “training AI agents” (mark as not found). Funding/operations confirmed via press.",https://www.linkedin.com/in/keluliu/
iFood,https://www.ifood.com.br,"Overview iFood is Brazil’s dominant online food ordering and delivery platform, holding over 80% of the country’s meal delivery market. Its services have expanded far beyond restaurant food delivery to encompass a broad",Private; consolidated under iFood; revenue undisclosed,LATAM,Brazil,iFood publicly describes a dedicated AI/ML platform built on AWS (incl. SageMaker for inference) to run hundreds of ML models across operations—clear evidence of sustained AI model training & deployment.,https://www.linkedin.com/in/flaviostecca/
Instacart,https://www.instacart.com,"Instacart’s key products and services center on on demand grocery delivery , quick commerce (q commerce) , pickup services , and enabling last mile logistics from a broad network of retailers, with additional offerings.",Public (NASDAQ: CART). 2024 revenue ≈ $3.3B (industry trackers); IR provides quarterly updates (2025).,North America,United States; Canada,Instacart has multiple AI/GenAI initiatives: Ask Instacart (AI-powered conversational search) and AI features for Storefront; official newsroom/press outline use of OpenAI models plus Instacart’s own models—showing live agentic/conversational experiences trained on commerce data.,https://www.linkedin.com/in/ankundu/
Jahez,https://jahezgroup.com/,"Saudi on-demand platform for food delivery and quick-commerce; logistics and merchant solutions across GCC (brands include Jahez, PIK, BLU Store).","Revenue SAR 2.218 billion (FY 2024); SAR 1.784 billion (FY 2023), per audited financials.",EMEA,Saudi Arabia; Kuwait; Bahrain; Qatar,"The group documents an AI strategy using predictive analytics and ML for demand forecasting, personalization, and operational efficiency across its platforms.",https://www.linkedin.com/in/jawad-mahmood-jawad-07249529/?originalSubdomain=bh
JOKR,https://www.jokr.com,"Overview of JOKR's Key Products and Services JOKR is a pioneering company in the quick commerce (q commerce) sector, specializing in ultra fast grocery and retail delivery. ",Series D $50M (Sep 2023); historical raises incl. $430M in 2021 (unicorn status).,LATAM,Brazil; (historically: Mexico; Peru; Colombia),"JOKR states the app “learns what you love” and uses AI to predict stock and route deliveries, and earlier announced “predictive AI” for automated content curation/personalization—evidence of ongoing ML/AI model training for recommendations and operations.",https://www.linkedin.com/in/ralfwenzel/
Just Eat,https://www.just-eat.co.uk,Key Products and Services of Just Eat Just Eat is a leading online food delivery platform that has expanded its services beyond traditional food delivery to include grocery delivery and quick commerce (q commerce).,"Group revenue 2024: €5,085M; Southern Europe & Australia revenue 2024: €361M (including Menulog).",EMEA; APAC; Americas,United Kingdom; Germany; Netherlands; Canada; Australia,"Group communications highlight using automation and AI to enhance customer/courier/merchant experience; additionally, JET partnered with Rokt for AI-enhanced post-purchase ads—clear, production use of AI across CX and monetization.",https://www.linkedin.com/in/pizza/?originalSubdomain=nl
Meituan,https://www.meituan.com,"Meituan is a leading Chinese ""super app"" that offers a wide range of online to offline (O2O) local services . Its core products and services include: Food Delivery : Meituan is China's largest food delivery platform","Public (3690.HK); revenue at group level. $46.959 billion in 2024, a 20.09% increase from 2023",APAC; Middle East (Saudi Arabia via Keeta),China; Hong Kong; Saudi Arabia,"Meituan disclosed investing “billions” in chips to train AI models, signaling large-scale in-house model training; Meituan’s research also documents LLM/agentic systems powering user interactions and operations.",https://www.linkedin.com/in/wangxing/
Menulog,https://www.menulog.com.au,"Menulog’s core products and services are centered on on demand food delivery , grocery and convenience delivery (q commerce) , and last mile logistics , with a focus on speed, broad coverage, and partnerships with both m",Revenue 2024 (JET Southern Europe & Australia): €361M,APAC,Australia,"In Apr 2025, Menulog launched AI Assistant to search, customize & order via chat with personalized recommendations—GenAI/agentic live feature.",https://www.linkedin.com/in/morten-birk-belling-1087406/
Mr D,https://www.mrdfood.com,"Mr D offers a suite of convenience delivery services in South Africa spanning food delivery, rapid grocery, last mile e commerce fulfillment, and partnerships with dark stores for hyperlocal logistics. ",Takealot Group revenue FY2024: ~US$808M; Mr D profitable with US$3M trading profit; GMV Mr D +16% (LC).,EMEA (Africa),South Africa,"The Naspers report mentions data-driven transformation: Mr D achieved profitability and GMV growth, demonstrating analytics/ML-based execution in operations even though the term “AI agents” is not explicit.",https://www.linkedin.com/in/frederik-zietsman-5724522b/
Mrsool,https://mrsool.co/home/,"On-demand “deliver-anything” platform: restaurant meals, groceries, pharmacy, and point-to-point errands via a large courier network.","Revenue: Not disclosed. Corporate event: Majority stake acquired by NOMW Capital (Apr 29, 2025), amount undisclosed.",EMEA,Saudi Arabia; Egypt; Bahrain,"No credible, brand-owned statement that Mrsool is “training AI agents.” Public materials emphasize the on-demand marketplace; third-party vendor blogs mention “AI recommendations,” but there is no first-party confirmation—",https://www.linkedin.com/in/ayman-alsanad-3817274/?originalSubdomain=sa
Ocado Zoom,https://www.ocado.com/zoom,"Ocado Zoom is a rapid grocery delivery service operating in selected London areas, specializing in q commerce (quick commerce) and last mile grocery delivery through a network of local fulfillment hubs (micro-fulfilment) and last-mile delivery under the Ocado brand",£2.686 billion FY 2024 (Ocado Retail JV total; Zoom is a sub-brand).,EMEA,United Kingdom,"Ocado Group publicly details extensive AI and machine-learning use across fulfillment robotics, forecasting, warehouse routing, and last-mile optimization. Leadership interviews describe “our AI story” and ongoing agentic automation initiatives applying across Ocado Retail —including Zoom.",https://www.linkedin.com/in/jxmatthews/?originalSubdomain=uk
PedidosYa,https://www.pedidosya.com,"PedidosYa’s key products and services are centered on on demand delivery across Latin America, covering multiple verticals: food delivery, quick commerce (q commerce), groceries, last mile logistics, and the operation of LATAM",€939.6 million 2024 (Delivery Hero “Americas” segment revenue – PedidosYa’s region).,LATAM,Argentina; Chile; Uruguay; Paraguay; Bolivia,Delivery Hero (PedidosYa’s parent) is actively deploying agentic and generative-AI systems across customer service and operations. Corporate communications confirm that these initiatives apply to LATAM brands including PedidosYa.,https://www.linkedin.com/in/aburschtin/?originalSubdomain=uy
Picnic,https://www.picnic.app,"Picnic is a leading European online supermarket that offers app based grocery delivery directly to consumers' homes, with a model built around efficiency, sustainability, and technological innovation.",€1.2 billion FY 2023 (~$1.3 billion USD); €918 million FY 2022 (group); €796 million Netherlands 2023.,EMEA,Netherlands; Germany; France,"Picnic’s engineering team describes extensive ML for demand forecasting, route planning, and inventory optimization, with real-time AI models trained on customer and logistics data to optimize fulfilment efficiency.",https://www.linkedin.com/in/danielgebler/
PillPack (Amazon Pharmacy),https://www.pillpack.com,"PillPack, now operated as part of Amazon Pharmacy , specializes in the delivery of pre sorted prescription medications in convenient, personalized packets organized by date and time, delivered monthly to the customer’s.",≈ $94 million startup funding pre-acquisition (2018 buyout ≈ $1 billion by Amazon); Amazon Pharmacy market revenue est. ≈ $1.8 billion 2025.,Americas,United States,"Amazon Pharmacy (which includes PillPack) has publicly disclosed using generative-AI and autonomous ML agents within pharmacy operations to accelerate prescription processing, detect errors, and personalize communication. AWS case studies describe HIPAA-eligible LLM workflows supporting these tasks.",https://www.linkedin.com/in/john-love-3499993/
Rappi,https://www.rappi.com,"Rappi is a Latin American super app that offers a comprehensive suite of on demand delivery and financial services. Latin-American super-app: food & grocery delivery, courier services, fintech (RappiPay/RappiBank)",≈ $2.3 – $2.5 billion total venture funding (through 2025); valued ≈ $5 billion post-2022.,LATAM,Colombia; Mexico; Brazil; Chile; Argentina,"Rappi’s engineering division publishes research on graph ML and self-supervised learning used for recommendation, fraud detection, and logistics optimization. The company also runs AI/ML initiatives for advertising and customer retention, indicating active model training and deployment.","https://www.linkedin.com/in/simonborrero/
https://www.linkedin.com/in/yuanzhong/"
Rohlik Group,https://www.rohlik.group/,"European online grocer: app-based same-day grocery delivery via automated fulfilment; brands include Rohlik (CZ), Knuspr (DE), Kifli (HU), Gurkerl (AT).","€700 m revenue (FY2023); US$170 m growth capital (Jun-2024); company guided for >€1 bn 2024, Reuters projects ~€1.43 bn 2025.",EMEA,Czech Republic; Germany; Austria; Hungary; Romania,"Uses machine-learning for logistics optimization (e.g., predictive bag count and routing) and real-time operations; multiple company/press sources describe ML in fulfilment and expansion.",https://www.linkedin.com/in/tomascupr/
Shipt,https://www.shipt.com,"Shipt Key Products and Services Shipt is a leading retail tech platform that specializes in same day delivery of groceries, fresh produce, snacks, and other essentials from local and national retailers. Same-day delivery marketplace for groceries, retail, and essentials; last-mile logistics for retailers (Target, etc.)",Not disclosed by parent Target; (Target acquired Shipt for $550M in Dec 2017).,Americas,United States,Shipt uses AI via partnership with Perplexity: Shipt confirmed a partnership to use Perplexity’s Comet (AI-powered) shopping browser to enhance discovery and personalization for Shipt users and partners.,https://www.linkedin.com/in/kamauwitherspoon/
ShopeeFood,https://shopeefood.vn,"ShopeeFood’s key products and services span food delivery , q commerce (quick commerce) , online grocery delivery , last mile logistics , and increasingly, elements of the dark store model—all integrated through the Shop. On-demand food delivery, quick commerce/groceries, last-mile logistics within Shopee ecosystem",Not disclosed at ShopeeFood level (part of Sea Limited’s E-commerce segment: US$16.8B total GAAP revenue in 2024; E-commerce Q4’24 revenue US$4.0B).,APAC,"Vietnam, Indonesia",Sea Limited (Shopee) announced collaboration with OpenAI on “Operator” to explore/enable autonomous AI agents; Shopee is actively integrating GenAI across e-commerce ops. (Shopee/Sea earnings & OpenAI Operator partnership coverage.),https://www.linkedin.com/in/terence-pang-64a95914/
SkipTheDishes,https://www.skipthedishes.com/,Canada’s on-demand marketplace for restaurant delivery; last-mile logistics; merchant tools and partner marketing,"Brand revenue not disclosed. Parent Just Eat Takeaway.com revenue €5,085M (FY2024); Skip is JET’s Canada unit.",Americas,Canada,"Official Skip partner blog discusses AI use for personalization and customer experience in the delivery context (recommendations from past orders, etc.).",https://www.linkedin.com/in/electricartist/?originalSubdomain=ca
Swiggy,https://www.swiggy.com,"Food delivery, quick commerce (Instamart), last-mile logistics; B2B supply chain services. Swiggy is a leading Indian platform providing multiple digital convenience services, with its core offerings spanning food delivery, quick commerce (q commerce) grocery, last mile logistics.","FY2023-24 revenue from operations ₹11,247 crore (~US$1.35B–1.4B); FY2024 total revenue including other income ₹11,634 crore. (DRHP/press coverage).",APAC,India,"Swiggy publicly details building internal GenAI assistants/workflows and AI-driven features (discovery, support); ongoing hiring and engineering posts discuss LLM/GenAI systems (not “agents” branding, but functionally similar assistants).",https://www.linkedin.com/in/sriharsha-m-563aa217/
Talabat,https://www.talabat.com,"Multi-category on-demand delivery: restaurant food, groceries/quick commerce, pharmacy, convenience; last-mile across MENA. Talabat's Key Products and Services Talabat is a multi service delivery platform that has evolved from a food delivery app into a comprehensive on demand commerce ecosystem operating across the MENA region.",Revenue AED 8.0 billion (2023); 9M-2024 revenue AED 7.6 billion (pre-IPO IR disclosures).,EMEA (MENA),UAE; Saudi Arabia; Kuwait; Qatar; Bahrain,"Launched “talabat AI” – a ChatGPT-powered grocery shopping assistant (MENA’s first, per Delivery Hero); active ongoing AI initiatives per IR.",https://www.linkedin.com/in/tomasorodriguez/
Uber Eats,https://www.ubereats.com,"Restaurant delivery, grocery & convenience (q-commerce), retail last-mile; ads & merchant tools. Uber Eats primarily offers food delivery from restaurants, as well as grocery delivery , quick commerce (q commerce) for rapid delivery of convenience items, last mile delivery solutions for retailers.",Uber Delivery segment revenue FY2024: US$13.75 billion (from Uber 2024 Form 10-K). Q4-2024 Delivery revenue US$3.8 billion.,Americas; EMEA; APAC; LATAM (global),Australia; United States; United Kingdom; Canada; Japan,Uber announced an AI assistant for Uber Eats (discovery/deals/meal planning) and continues expanding AI features in Delivery; multiple newsroom and Reuters reports confirm rollout.,https://www.linkedin.com/in/dara-khosrowshahi-70949862/
Wolt,https://www.wolt.com,"Wolt offers a comprehensive suite of urban delivery products and services, covering food delivery , q commerce (quick commerce) , grocery delivery , last mile logistics , and dark stores.",Funding: raised $856M pre-acquisition; Acquired by DoorDash for ~$8.1B (2022). (Wolt brand revenue not disclosed separately.),"EMEA, APAC",Finland; Germany; Japan; Greece,"Wolt publicly documents extensive ML/AI use: MLOps across core business (ETAs, recommendations) and a formal AI Usage Standard. It also advertises ML roles (Personalization) and discusses production models for ETA accuracy; Wolt uses generative-AI in merchant tools and support analysis.",https://www.linkedin.com/in/mikikuusi/
Yemeksepeti,https://www.yemeksepeti.com,"Yemeksepeti is a leading Turkish company specializing in online food delivery, quick commerce (q commerce), online grocery delivery, last mile logistics, and dark store operations , serving millions of users across Turkey.",Funding/Deal: Acquired by Delivery Hero for ~$589M (2015); brand-level revenue not disclosed.,EMEA,Turkey; Northern Cyprus.,"Public AI/automation mentions relate to robot delivery pilots (e.g., Delivers.AI collaboration). No credible, explicit claims that Yemeksepeti is “training AI agents” beyond robotics/automation pilots were found in recent authoritative sources.",https://www.linkedin.com/in/mertbaki/
Zapp,https://www.tryzapp.com,"Zapp is a London based quick commerce (q commerce) company specializing in ultra fast, direct to consumer delivery of groceries, everyday essentials, and convenience goods, leveraging a network of proprietary dark stores.",Funding: $200M Series B (Jan 2022); total funding ≈ $300M.,EMEA,United Kingdom,"No authoritative disclosures that Zapp is training AI agents. Public materials emphasize operations and funding; we found no credible, recent sources confirming in-house AI-agent training. (If required, this should be marked Not Found per client spec.)",https://www.linkedin.com/in/shreystha/
Zepto,https://www.zeptonow.com/,"Overview Zepto is a leading Indian quick commerce (q commerce) startup, founded in 2021, that operates a hyperlocal network of “dark stores” (micro fulfillment centers) to deliver groceries, essentials, and prepared food.","Revenue: ₹11,110 crore (~$1.3B) in FY25, up from ₹4,454 crore in FY24 (per regulatory-filing based reports).",APAC,India,"Zepto publicly references AI in analytics and product features; coverage notes AI-powered analytics/tools and ongoing AI adoption. (e.g., media and filing-based reporting on product analytics and scale).",https://www.linkedin.com/in/aadit-palicha/
