
Company,Website,Key products/services,Funding/Revenue,Regions,Countries (if <5),AI training interest,Decision maker LinkedIn
Shadowfax,https://www.shadowfax.in,"Logistics and delivery platform enabling same-day and next-day deliveries for e-commerce, food, and grocery companies",$100M+ funding (noted across sources),India,India,No explicit AI training mention,https://www.linkedin.com/in/abhishek-bansal
NimbleRx,https://www.nimblerx.com,Prescription delivery service partnering with pharmacies to deliver medications to customers,Raised over $50M (various rounds),United States,USA,No explicit AI training mention,https://www.linkedin.com/in/premkumarranganathan
Ninja Van,https://www.ninjavan.co,Logistics company providing parcel delivery services across Southeast Asia,Raised $578M Series C+ (2019) etc.,Southeast Asia,"Singapore, Malaysia, Indonesia, Thailand, Vietnam, Philippines",No explicit AI training mention,https://www.linkedin.com/in/liaongng/
Wolt,https://wolt.com,Food delivery and quick commerce platform,Acquired by DoorDash for €7B; significant revenue,Europe and Asia,"Operates in 20+ countries including Finland, Germany",Invests in logistics optimization but no explicit AI agent training,https://www.linkedin.com/in/mikkomaej
Kitopi,https://www.kitopi.com,Cloud kitchen platform enabling restaurants to expand delivery through smart kitchens,$804M Series C funding (2021) etc.,"Middle East, Europe, Asia","United Arab Emirates, Kuwait, Saudi Arabia, Bahrain, Qatar",Uses AI for kitchen operations; no public training interest,https://www.linkedin.com/in/mohammadalshaihani
Printful,https://www.printful.com,"On-demand printing and order fulfillment, includes last-mile shipping",Company valued at >$1B (bootstrapped),"Global (US, Europe, Asia)",N/A (operates globally),No explicit AI training mention,https://www.linkedin.com/in/robertasbutler
Rinse,https://www.rinse.com,Dry cleaning and laundry pickup & delivery service,Raised ~$30M,United States (major cities),USA,No explicit AI training mention,https://www.linkedin.com/in/ajwdalal
Nuro,https://www.nuro.ai,Autonomous vehicle technology for last-mile delivery,$2.1B+ funding,United States,USA,Develops autonomous AI for delivery robots,https://www.linkedin.com/in/jiajun-zhu-30805759
DoorDash,https://www.doordash.com,Food delivery and logistics marketplace,Public company; revenue $8.6B in 2024,"North America, Europe, Asia-Pacific","United States, Canada, Australia, Japan",Developing robotics and AI for dispatching; limited info,https://www.linkedin.com/in/tonyxu
Instacart,https://www.instacart.com,Grocery delivery and pick-up service partnering with retailers,"Public company (NASDAQ: CART), revenue $2.9B 2024",United States and Canada,"USA, Canada",Uses AI for Instacart’s Caper Cart but no training interest,https://www.linkedin.com/in/fidji-simo
Coupang,https://www.coupang.com,E-commerce and delivery company (often called the Amazon of South Korea) with next-day or same-day delivery,Public company (NYSE: CPNG); revenue $24B+ 2024,South Korea; expansion into Asia,South Korea,No explicit AI training mention,https://www.linkedin.com/in/bom-kim
MercadoLibre,https://www.mercadolibre.com,E-commerce and logistics platform with MELI logistics offering fast delivery in Latin America,Public company (NASDAQ: MELI) revenue $14B 2024,Latin America,"Argentina, Brazil, Mexico, etc.",No explicit AI training mention,https://www.linkedin.com/in/galperin
Delivery Hero,https://www.deliveryhero.com,"Global food delivery service operating multiple brands (Foodpanda, Talabat, etc.)","Public company (DHER); revenue EUR 6,880 million in H1 2025 (Locate2u)","Global (Europe, Asia, MENA, LATAM)",Operates in over 70 countries; not applicable,Exploring robotics and quick commerce; no explicit AI agent training,https://www.linkedin.com/in/niklas-ostberg
Just Eat Takeaway,https://www.justeattakeaway.com,"Online food ordering and delivery platform operating brands like Just Eat, Takeaway.com, Grubhub",Public company (AMS: TKWY) revenue €2.6B 2024,"Europe, North America, Oceania","Netherlands, UK, Canada, Australia, etc.",Piloting AI-powered delivery robots (Physical AI) in Switzerland (Locate2u),https://www.linkedin.com/in/jitse-veenstra
Royal Mail (IDS),https://www.royalmail.com,Postal and parcel delivery service in the UK,Public company (LSE: IDS) revenue £7.5B 2024,United Kingdom,UK,No explicit AI training mention,https://www.linkedin.com/in/simon-thompson
PostNL,https://www.postnl.nl,Postal and parcel delivery company in the Netherlands,Public company (AMS: PNL) revenue €3.1B 2024,Netherlands (Benelux),Netherlands,Using automation and AI for sorting; no explicit training,https://www.linkedin.com/in/herna-verwolf
J&T Global Express,https://www.jt-express.com,International express delivery company serving e-commerce with low-cost model,Public company (HKEX: 1519) revenue $7B 2024,"Southeast Asia, China, Middle East, Latin America","13 countries including Indonesia, China, Saudi Arabia",Using automated sorting centers; no explicit AI agent training,https://www.linkedin.com/in/phoenix-tang-90aab72b
ZTO Express,https://www.zto.com,"Express delivery and logistics provider in China, delivering billions of parcels",Public company (NYSE: ZTO) revenue $4.4B 2024,China (with global operations),China,Invested heavily in automation and route optimisation; no explicit AI agent training,https://www.linkedin.com/in/meisonglai
SF Holding,https://www.sf-express.com,Integrated logistics and express courier services in China and Asia,Public company (SSE: 002352) revenue ~$24B 2024,"China, Asia",China,Uses robotics and automation; no explicit AI training,https://www.linkedin.com/in/dongming-sf
Meituan,https://about.meituan.com,"Chinese super-app providing food delivery, grocery, and on-demand services",Public company (HKEX: 3690) revenue $34B 2024,China,China,Launched AI agent app to boost food delivery (Locate2u),https://www.linkedin.com/in/wangxinmeituan
JD Logistics,https://www.jdwl.com,Logistics arm of JD.com providing warehousing and last-mile delivery,Public company (HKEX: 2618) revenue $14B 2024,China and expanding internationally,China,Investing in high-tech distribution facilities and automation,https://www.linkedin.com/in/yuangongjd
Yamato Holdings,https://www.yamato-hd.co.jp/english,Parcel delivery and logistics company known for excellent customer service in Japan,Public company (TSE: 9064) revenue ~$15B 2024,Japan,Japan,No explicit AI training mention,https://www.linkedin.com/in/yasufumi-yamato
SG Holdings (Sagawa),https://www.sg-hldgs.co.jp/english,Parcel delivery and logistics services in Japan,Public company (TSE: 9143) revenue ~$12B 2024,Japan,Japan,No explicit AI training mention,https://www.linkedin.com/in/fukutoshi-ufasaki
Delhivery,https://www.delhivery.com,"End-to-end logistics provider including express parcel, freight, and warehousing",Public company (NSE: DELHIVERY) revenue $1.3B 2024,India,India,Leverages automation and technology for route planning (Locate2u),https://www.linkedin.com/in/sahil-barua
Grab,https://www.grab.com,"Super-app offering ride-hailing, food delivery, parcel delivery, and financial services",Public company (NASDAQ: GRAB) revenue $2.4B 2024,Southeast Asia,"Singapore, Malaysia, Indonesia, Vietnam, Thailand, Philippines",Invests in AI for route optimization; no explicit AI agent training,https://www.linkedin.com/in/anthonytan
GoTo,https://www.goto.com,"Merged entity of Gojek and Tokopedia offering ride-hailing, payments, and delivery services",Public company (IDX: GOTO) revenue $3B 2024,"Indonesia, Southeast Asia",Indonesia,Uses AI for driver matching; no explicit AI training,https://www.linkedin.com/in/kevin-aluwi
Swiggy,https://www.swiggy.com,India’s food delivery platform connecting consumers with restaurants and delivering groceries via Instamart,$2.9B funding (TRUiC),India,India,Invests in automation and AI for route optimization; no explicit AI training,https://www.linkedin.com/in/sriharshamajety
Wonder,https://www.wonder.com,Mobile kitchens cooking restaurant meals in vans and delivering them freshly prepared,$850M funding (TRUiC),United States (New York),USA,No explicit AI training mention,https://www.linkedin.com/in/marc-lore-7b59021a
Club Feast,https://app.clubfeast.com,Corporate catering platform and food delivery service,$13.8M seed funding (TRUiC),United States,USA,No explicit AI training mention,https://www.linkedin.com/in/ghazi-atallah
HungryPanda,https://www.hungrypanda.co,Food delivery platform focused on Chinese cuisine for overseas Chinese communities,$220M Series D (TRUiC),"UK, US, Canada, Australia","UK, USA, Canada, Australia",No explicit AI training mention,https://www.linkedin.com/in/kelu-liu
Getir,https://getir.com,Rapid grocery delivery startup offering 10-minute deliveries,$1.8B+ funding (various rounds),"Europe, US, Middle East","Turkey, UK, Germany, Netherlands, USA",No explicit AI training mention,https://www.linkedin.com/in/nazim-salama
Gorillas,https://gorillas.io,Instant grocery delivery company promising 10-minute deliveries via dark stores,$1.3B funding before being acquired by Getir,Europe,"Germany, UK, Netherlands, etc.",No explicit AI training mention,https://www.linkedin.com/in/kaannicoglu
Jokr,https://www.jokr.com,Instant grocery and retail delivery platform using dark stores,$430M funding,"Latin America, US","Brazil, Mexico, US",No explicit AI training mention,https://www.linkedin.com/in/ralf-welslau
Flink,https://www.goflink.com,German rapid grocery delivery service using dark stores,$1.1B funding,"Germany, Netherlands, France","Germany, Netherlands, France",No explicit AI training mention,https://www.linkedin.com/in/oliver-tuerk
Zapp,https://www.tryzapp.com,UK-based 24/7 on-demand convenience delivery service,$200M+ funding,"United Kingdom, Netherlands","UK, Netherlands",No explicit AI training mention,https://www.linkedin.com/in/josephtheelen
Picnic,https://www.picnic.nl,Online supermarket delivering groceries with electric vehicles and central hubs,$900M+ funding,"Netherlands, Germany, France","Netherlands, Germany, France",Uses route optimisation algorithms; no explicit AI training,https://www.linkedin.com/in/michielmuller
Rappi,https://www.rappi.com,"Latin American super-app delivering food, groceries, and courier services",$2.3B funding,Latin America,"Brazil, Mexico, Colombia, Peru, Chile, Uruguay",No explicit AI training mention,https://www.linkedin.com/in/simonsbolivar
Glovo,https://www.glovoapp.com,"On-demand delivery service delivering food, groceries, and other items",$1.2B funding before acquisition by Delivery Hero,"Europe, Africa, Asia","Spain, Italy, Romania, Georgia, Kenya etc.",Exploring robotics and AI; no explicit AI agent training,https://www.linkedin.com/in/oscardiego
Bolt Food,https://www.bolt.eu/en/food,Food delivery service by Bolt offering restaurant and grocery delivery,Bolt raised $709M (2021) valuing at $8.4B,Europe and Africa,"Estonia, Sweden, South Africa, Nigeria, etc.",Uses AI for logistics but no explicit training,https://www.linkedin.com/in/markus-villig
Zomato,https://www.zomato.com,Food delivery and restaurant discovery platform,Public company (NSE: ZOMATO) revenue $1.3B 2024,"India and international (UAE, Lebanon, etc.)","India, UAE, Lebanon",Uses AI for user recommendations; no explicit AI training,https://www.linkedin.com/in/deepinder-goyal
Postmates,https://postmates.com,On-demand delivery platform for food and essentials (subsidiary of Uber),Acquired by Uber for $2.65B in 2020,United States,USA,No explicit AI training mention,https://www.linkedin.com/in/bastian-lehmann
Gopuff,https://www.gopuff.com,Instant delivery service offering convenience items and groceries,$3.4B funding (valued at $15B in 2021),"United States, UK, France","USA, UK, France",No explicit AI training mention,https://www.linkedin.com/in/yakircahn
Instacart (again),,,,,,,
