Company Name,Website,Email address,Phone number,Instagram/Linkedin,Notes
Visionary Lofts,https://visionarylofts.co.uk/,sales@visionarylofts.co.uk,020 3536 8734,https://www.instagram.com/visionarylofts/,"Verified. Website confirms ""bespoke loft conversion services"". The contact page lists an address in West Norwood (SE27) and the projects page lists numerous South London postcodes (SW16, SW17, SW12, SW2, etc.). The site states it was ""Founded by a dynamic husband and wife duo,"" meeting the independent firm criteria."
Benchmark Lofts Ltd,http://benchmark-lofts.com/,info@benchmark-lofts.com,020 7438 2043,https://www.instagram.com/benchmarkloftsltd/,"Independent loft conversion and house extension specialist. Official “Service Areas” page explicitly lists South‑West and South‑East London neighbourhoods including Battersea, Brixton, Brockley, Catford, Clapham, Dulwich/East Dulwich, Forest Hill, Herne Hill, Honor Oak, Norwood, Nunhead, Peckham, Wandsworth. Public email present. No indication of a national chain/franchise; appears local/independent serving South London."
LC Renovation,https://www.lcrenovation.co.uk/,info@lcrenovation.co.uk,020 7118 5155,N/A,"This company has been verified as a local, independent firm. Their website prominently lists ""Loft Conversions"" and ""Extensions"" as key services. The South London location is confirmed by a contact address in SE5 and a project portfolio including Balham (SW12), Clapham (SW4), and Mitcham (CR4), meeting all inclusion criteria."
Build Team,http://www.buildteam.com/,hello@buildteam.com,0207 495 6561,https://www.instagram.com/buildteamldn/,"This company has been verified as a local firm. Their website's main services are ""Loft Conversion"" and ""House Extensions"". The South London location is confirmed by their contact address in Clapham (SW9) and numerous case studies in postcodes like SE22, SE26, SW12, and SW4. The ""Our Story"" page confirms they were founded in London in 2007, meeting the independent criterion."
MyLondonExtensions Ltd,https://mylondonextensions.com/,info@mylondonextensions.com,0208 355 4404,https://www.instagram.com/mylondonextensions/,"This company has been verified as a local, independent firm. The website lists ""LOFT CONVERSIONS"" and ""HOME & KITCHEN EXTENSIONS"" as primary services. The South London location is confirmed by their head office address in SW18. The site also names ""David Serra"" as the founder, meeting the independent firm criterion."
APT Renovation Ltd,https://www.aptrenovation.co.uk/,info@aptrenovation.co.uk,0207 223 6417,https://www.instagram.com/aptrenovation/,"This company has been verified as a local, independent firm. Their website lists ""Loft Conversion"" and ""House Extensions"" as key services. The South London location is confirmed by their contact address in Battersea (SW11) and project portfolio (Wimbledon, Battersea SW11, Brixton SW9). Company registration (08967475) confirms independent status."
Otm Home Refurbishment,https://www.otmhome.co.uk/,otmhomerefurbishment@gmail.com,7399039639,https://www.instagram.com/otm_home_refurbishment/,Verified. Clearly lists loft conversions and home extensions. Address (SW16) is in South London. Appears to be an independent firm.
Design & Build London Renovation Ltd,https://designandbuildlondon.com/,info@designandbuildlondon.com,0203 3725 366,N/A,"This company has been verified as a local, independent firm. Their website confirms they specialize in loft conversions and house extensions. While their address is in Fulham (SW6, north of the Thames), their stated service area includes South West and South East London, meeting the geographic coverage criteria."
Home Shape Ltd,https://www.homeshape.co.uk/,hello@homeshape.co.uk,07877 497598,https://www.instagram.com/homeshapeltd/,"Verified. Website confirms ""House Extension & Loft Conversion Builders"" and specifically lists South London (Croydon, Lambeth, etc.) as their cover area."
South London Lofts Ltd,http://www.southlondonlofts.co.uk/?utm_source=chatgpt.com,info@southlondonlofts.co.uk,020 8673 4114,https://www.instagram.com/southlondonlofts_sw12,Verified.
South London Extensions,https://southlondonextensions.com/?utm_source=chatgpt.com,southlondonextensions@gmail.com,44 7999 902732,https://www.instagram.com/southlondonlofts_extensions,Verified.
Broadpark Construction | South London,http://broadparkconstruction.co.uk/?utm_source=chatgpt.com,Broadparkconstruction@gmail.com,07400 258628,N/A,Verified.
,,,, ,
