page,section,title_excerpt,status,workaround
30,1 Seem Like Change Happening Faster Than Ever? Because It Is,"…AI Milestone Timeline – 2023-2025, per Stanford University",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
31,1 Seem Like Change Happening Faster Than Ever? Because It Is,AI =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
32,1 Seem Like Change Happening Faster Than Ever? Because It Is,"Top Ten Things AI Can Do Today, per ChatGPT",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
33,1 Seem Like Change Happening Faster Than Ever? Because It Is,AI =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
34,1 Seem Like Change Happening Faster Than Ever? Because It Is,"Top Ten Things AI Will Likely Do in Five Years, per ChatGPT",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
35,1 Seem Like Change Happening Faster Than Ever? Because It Is,AI =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
36,1 Seem Like Change Happening Faster Than Ever? Because It Is,"Top Ten Things AI Will Likely Do in Ten Years, per ChatGPT",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
37,1 Seem Like Change Happening Faster Than Ever? Because It Is,AI Development Trending =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
38,1 Seem Like Change Happening Faster Than Ever? Because It Is,Machine-Learning Model* Trending = In 2015...,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
39,1 Seem Like Change Happening Faster Than Ever? Because It Is,AI Developer Growth (NVIDIA Ecosystem as Proxy) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
40,1 Seem Like Change Happening Faster Than Ever? Because It Is,AI Developer Growth (Google Ecosystem as Proxy) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
41,1 Seem Like Change Happening Faster Than Ever? Because It Is,"Computing-Related Patent Grants, USA = Exploded…",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
42,1 Seem Like Change Happening Faster Than Ever? Because It Is,AI Performance = In 2024…,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
43,1 Seem Like Change Happening Faster Than Ever? Because It Is,AI Performance = In Q1:25…,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
44,1 Seem Like Change Happening Faster Than Ever? Because It Is,AI Performance =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
45,1 Seem Like Change Happening Faster Than Ever? Because It Is,AI Performance =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
46,1 Seem Like Change Happening Faster Than Ever? Because It Is,…AI Performance =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
47,1 Seem Like Change Happening Faster Than Ever? Because It Is,AI Performance =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
48,1 Seem Like Change Happening Faster Than Ever? Because It Is,…AI Performance =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
49,1 Seem Like Change Happening Faster Than Ever? Because It Is,AI Performance =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
50,1 Seem Like Change Happening Faster Than Ever? Because It Is,AI =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
51,1 Seem Like Change Happening Faster Than Ever? Because It Is,AI Development =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
52,2 AI User + Usage + CapEx Growth = Unprecedented,Success in creating AI could be the biggest event in the,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
53,2 AI User + Usage + CapEx Growth = Unprecedented,Outline,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
54,2 AI User + Usage + CapEx Growth = Unprecedented,AI User + Usage + CapEx Growth =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
55,2 AI User + Usage + CapEx Growth = Unprecedented,Consumer / User AI Adoption =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
56,2 AI User + Usage + CapEx Growth = Unprecedented,AI User Growth (ChatGPT as Foundational Indicator) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
57,2 AI User + Usage + CapEx Growth = Unprecedented,AI Global Adoption (ChatGPT as Foundational Indicator) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
58,2 AI User + Usage + CapEx Growth = Unprecedented,AI User Adoption (ChatGPT as Proxy) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
59,2 AI User + Usage + CapEx Growth = Unprecedented,…AI User Adoption (ChatGPT as Proxy) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
60,2 AI User + Usage + CapEx Growth = Unprecedented,AI User Adoption – Time to 50% Household Penetration =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
61,2 AI User + Usage + CapEx Growth = Unprecedented,Technology Ecosystem AI Adoption =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
62,2 AI User + Usage + CapEx Growth = Unprecedented,NVIDIA AI Ecosystem Tells Over Four Years =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
63,2 AI User + Usage + CapEx Growth = Unprecedented,Tech Incumbent AI Adoption =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
64,2 AI User + Usage + CapEx Growth = Unprecedented,Tech Incumbent AI Focus =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
65,2 AI User + Usage + CapEx Growth = Unprecedented,…Tech Incumbent AI Focus =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
66,2 AI User + Usage + CapEx Growth = Unprecedented,…Tech Incumbent AI Focus =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
67,2 AI User + Usage + CapEx Growth = Unprecedented,…Tech Incumbent AI Focus =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
68,2 AI User + Usage + CapEx Growth = Unprecedented,‘Traditional’ Enterprise AI Adoption =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
69,2 AI User + Usage + CapEx Growth = Unprecedented,Enterprise AI Focus – S&P 500 Companies =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
70,2 AI User + Usage + CapEx Growth = Unprecedented,Enterprise AI Focus – Global Enterprises =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
71,2 AI User + Usage + CapEx Growth = Unprecedented,Enterprise AI Focus – Global CMOs =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
72,2 AI User + Usage + CapEx Growth = Unprecedented,Enterprise AI Adoption = Rising Priority…,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
73,2 AI User + Usage + CapEx Growth = Unprecedented,Enterprise AI Adoption = Rising Priority…,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
74,2 AI User + Usage + CapEx Growth = Unprecedented,Enterprise AI Adoption = Rising Priority…,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
75,2 AI User + Usage + CapEx Growth = Unprecedented,Enterprise AI Adoption = Rising Priority…,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
76,2 AI User + Usage + CapEx Growth = Unprecedented,Education / Government / Research AI Adoption =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
77,2 AI User + Usage + CapEx Growth = Unprecedented,Education & Government =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
78,2 AI User + Usage + CapEx Growth = Unprecedented,Government =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
79,2 AI User + Usage + CapEx Growth = Unprecedented,Research =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
80,2 AI User + Usage + CapEx Growth = Unprecedented,Research =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
81,2 AI User + Usage + CapEx Growth = Unprecedented,AI User + Usage + CapEx Growth =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
82,2 AI User + Usage + CapEx Growth = Unprecedented,AI Usage – ChatGPT =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
83,2 AI User + Usage + CapEx Growth = Unprecedented,AI Engagement (ChatGPT App as Proxy) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
84,2 AI User + Usage + CapEx Growth = Unprecedented,…AI Engagement (ChatGPT App as Proxy) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
85,2 AI User + Usage + CapEx Growth = Unprecedented,AI Retention (ChatGPT as Proxy) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
86,2 AI User + Usage + CapEx Growth = Unprecedented,AI Chatbots @ Work Tells =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
87,2 AI User + Usage + CapEx Growth = Unprecedented,AI Chatbots @ School Tells (ChatGPT as Proxy) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
88,2 AI User + Usage + CapEx Growth = Unprecedented,AI Usage Expansion – Deep Research =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
89,2 AI User + Usage + CapEx Growth = Unprecedented,AI Agent Evolution =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
90,2 AI User + Usage + CapEx Growth = Unprecedented,"A new class of AI is now emerging – less assistant, more service provider.",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
91,2 AI User + Usage + CapEx Growth = Unprecedented,AI Agent Interest (Google Searches) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
92,2 AI User + Usage + CapEx Growth = Unprecedented,AI Agent Deployments =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
93,2 AI User + Usage + CapEx Growth = Unprecedented,Next Frontier For AI =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
94,2 AI User + Usage + CapEx Growth = Unprecedented,"Artificial General Intelligence, or AGI, refers to systems capable of performing the full range of human intellectual tasks –",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
95,2 AI User + Usage + CapEx Growth = Unprecedented,AI User + Usage + CapEx Growth =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
96,2 AI User + Usage + CapEx Growth = Unprecedented,"To understand where technology CapEx is heading, it helps to look at where it’s been.",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
97,2 AI User + Usage + CapEx Growth = Unprecedented,CapEx Spend – Big Technology Companies =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
98,2 AI User + Usage + CapEx Growth = Unprecedented,CapEx Spend @ Big Six* Tech Companies (USA) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
99,2 AI User + Usage + CapEx Growth = Unprecedented,CapEx Spend for Tech Hyperscalers = Mirrored by…,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
100,2 AI User + Usage + CapEx Growth = Unprecedented,CapEx Spend – Big Technology Companies =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
101,2 AI User + Usage + CapEx Growth = Unprecedented,AI Model Training Dataset Size =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
102,2 AI User + Usage + CapEx Growth = Unprecedented,CapEx Spend @ Big Six* Tech Companies =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
103,2 AI User + Usage + CapEx Growth = Unprecedented,…CapEx Spend @ Big Six* Tech Companies =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
104,2 AI User + Usage + CapEx Growth = Unprecedented,CapEx Spend @ Amazon AWS =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
105,2 AI User + Usage + CapEx Growth = Unprecedented,CapEx as % of Revenue (AWS as Proxy) – AI vs. Cloud Buildouts =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
106,2 AI User + Usage + CapEx Growth = Unprecedented,Tech CapEx Spend Partial Instigator =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
108,2 AI User + Usage + CapEx Growth = Unprecedented,NVIDIA Installed GPU Computing Power =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
109,2 AI User + Usage + CapEx Growth = Unprecedented,Tech CapEx Spend Beneficiary =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
110,2 AI User + Usage + CapEx Growth = Unprecedented,Key Tech CapEx Spend Beneficiary = NVIDIA…,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
111,2 AI User + Usage + CapEx Growth = Unprecedented,Technology Company Spend =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
112,2 AI User + Usage + CapEx Growth = Unprecedented,R&D Spend @ Big Six* USA Public Tech Companies =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
113,2 AI User + Usage + CapEx Growth = Unprecedented,Tech Big Six (USA) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
114,2 AI User + Usage + CapEx Growth = Unprecedented,Big Six* Generating Loads of Cash =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
115,2 AI User + Usage + CapEx Growth = Unprecedented,…Big Six* Generating Loads of Cash =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
116,2 AI User + Usage + CapEx Growth = Unprecedented,Tech CapEx Spend Driver =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
117,2 AI User + Usage + CapEx Growth = Unprecedented,"To understand the evolution of AI computing economics, it’s constructive to look at where costs are concentrated –",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
118,2 AI User + Usage + CapEx Growth = Unprecedented,Data Centers =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
119,2 AI User + Usage + CapEx Growth = Unprecedented,"For one lens into the economics of AI infrastructure,",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
120,2 AI User + Usage + CapEx Growth = Unprecedented,"…These kinds of timelines are no longer the exception. With prefabricated modules, streamlined permitting,",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
121,2 AI User + Usage + CapEx Growth = Unprecedented,"Data Center Buildout Construction Value, USA =",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
122,2 AI User + Usage + CapEx Growth = Unprecedented,"Data Center New Construction vs. Existing Capacity, USA =",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
123,2 AI User + Usage + CapEx Growth = Unprecedented,Data Center Build Time (xAI Colossus as Proxy) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
124,2 AI User + Usage + CapEx Growth = Unprecedented,Data Center Compute (xAI Colossus as Proxy) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
125,2 AI User + Usage + CapEx Growth = Unprecedented,Data Centers =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
126,2 AI User + Usage + CapEx Growth = Unprecedented,AI and energy observations / quotes (in italics) here and the two pages that follow are from,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
127,2 AI User + Usage + CapEx Growth = Unprecedented,…AI’s power demands are increasing – and its progress is increasingly bottlenecked not by,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
128,2 AI User + Usage + CapEx Growth = Unprecedented,"Data Center Electricity Consumption, Global =",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
129,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,Data Center Electricity Consumption by Region =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
130,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,Outline,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
131,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,"To understand where AI model economics may be heading, one can look at the mounting tension between capabilities and costs.",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
132,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,AI Model Compute Costs High / Rising,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
133,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,AI Model Training Compute Costs =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
134,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,AI Model Compute Costs High / Rising,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
135,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,"To understand the trajectory of AI compute, it helps to revisit an idea from the early days of PC software.",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
136,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,AI Inference ‘Currency’ =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
137,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,AI Inference Costs – NVIDIA GPUs =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
138,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,AI Inference Costs – Serving Models =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
139,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,AI Cost Efficiency Gains =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
140,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,Tech’s Perpetual A-Ha =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
141,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,…Tech’s Perpetual A-Ha =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
142,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,AI Model Compute Costs High / Rising,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
143,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,AI Model Performance =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
144,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,AI Model Compute Costs High / Rising,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
145,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,"To understand the surge in AI developer activity, it’s instructive to look at the extraordinary drop in",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
146,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,"…At the platform level, a proliferation of foundation models has created a new kind of flexibility.",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
147,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,The AI Developer Next Door,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
148,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,AI Tool Adoption by Developers =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
149,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,AI Developer Repositories – GitHub =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
150,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,AI Developer Ecosystem – Google =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
151,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,AI Developer Ecosystem – Microsoft Azure AI Foundry =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
152,3 AI Model Compute Costs High / Rising + Inference Costs Per Token Falling = Performance Converging + Developer Usage Rising,AI Developer Use Cases =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
153,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Model Compute Costs High / Rising,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
154,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Outline,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
155,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,"It’s different this time, we'll make it up on volume, and we’ll figure out how to monetize our",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
156,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Technology Disruption Pattern Recognition =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
157,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI-Related Monetization =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
158,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,"To understand the evolution of AI hardware strategy, we’ll look at how control over chip design",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
