Company name,Website URL,Email address,Phone number,Head office city / base location,Service types,Vehicle types mentioned,Notes,Postcode,Facebook or Instagram handle (optional)
VIPSec,https://www.vipsec.co.uk/,vipsecbelfast@gmail.com,+44 28 9543 9356,Belfast,"airport transfers, corporate, VIP, security/close protection","Mercedes S-Class, BMW 7 Series, Mercedes V-Class",Central Belfast operations; coverage NI and Dublin transfers,BT4 1AF,https://www.instagram.com/vipsecbelfast/
DS Executive Service,https://dsexecutiveservice.com/,info@dsexecutiveservice.com,+44 7799 653005,Belfast,"airport transfers, corporate, weddings, transfers & tours","Mercedes S-Class, Mercedes E-Class, Audi A6, Mercedes V-Class, Mercedes Viano, Executive Coach","Registered office: 24 Glendun Park, Dunmurry, Belfast",BT17 9AY,https://www.facebook.com/ChauffeurHireNI
Nottingham Chauffeurs VIP,https://www.nottinghamchauffeursvip.com/,info@nottinghamchauffeursvip.com,+44 115 824 9045,Nottingham,"airport transfers, corporate, weddings, long distance, minibus","Mercedes S-Class, Mercedes E-Class, Mercedes V-Class","Address: Unit 3 Bar Lane, Bar Lane Industrial Park",NG6 0HT,https://www.facebook.com/NottinghamChauffeursVIP
A52 Executive Cars,https://www.a52cars.co.uk/,enquiries@a52cars.co.uk,+44 1332 600 993,Derby,"airport transfers, weddings, corporate, business chauffeur, tours, cruise transfers, sports events","Mercedes S-Class, Mercedes E-Class, Mercedes V-Class, Tourneo 8-seat, Tesla Model Y","Registered office: 27 Priestland Avenue, Spondon, Derby",DE21 7GQ,https://www.facebook.com/A52ExecutiveCars
Crownwood Charters,https://www.crownwoodcharters.co.uk/,info@crownwoodcharters.co.uk,+44 1344 508121,Bracknell,"airport transfers, corporate, events, hourly & full-day, tours, sports & entertainment","Mercedes S-Class, Mercedes E-Class, Mercedes V-Class, Range Rover LWB","Based in Bracknell, Berkshire; active across London & Thames Valley",Not Stated,https://www.instagram.com/crownwoodcharters/
Luxe Liverpool Chauffeurs,https://luxeliverpoolchauffeurs.co.uk/,info@dbexecutive.co.uk,+44 151 380 0810,Liverpool,"airport transfers, corporate, events, weddings","Mercedes S-Class, Mercedes V-Class","Trading address (directory): Old Hall Street, Liverpool; email provided by expert",L3 9QJ,https://wegetyoufound.co.uk/listings/luxe-liverpool-chauffeurs/liverpool/chauffeur-service
Pelorus Chauffeurs,https://peloruschauffeurs.co.uk/,bookings@peloruschauffeurs.com,+44 151 305 0369,Liverpool,"airport transfers, corporate, events","Mercedes S-Class, Mercedes E-Class, Mercedes V-Class",Postal HQ via Google/directory,L11 5BA,https://www.facebook.com/p/Pelorus-Chauffeurs-100063557741468/
LP Chauffeurs (Liverpool Prestige Chauffeurs),https://lpchauffeurs.co.uk/,info@lpchauffeurs.co.uk,+44 7462 949456,Liverpool,"airport transfers, corporate, events","Mercedes S-Class, Mercedes V-Class","Trading address (Trustpilot): 157 Parbrook Road, Huyton, Liverpool",L36 3XD,https://www.facebook.com/Lpcexecutive/
Quantum Chauffeur,https://www.quantumchauffeur.co.uk/,info@quantumchauffeur.co.uk,+44 114 358 3911,Sheffield,"airport transfers, corporate, events, weddings","Mercedes S-Class, Mercedes E-Class, Mercedes V-Class",Postcode from directories; verify on official channels,S26 5QJ,
MBE Chauffeurs,https://www.mbechauffeurs.co.uk/,info@mbechauffeurs.co.uk,+44 800 270 7075,Worksop / Sheffield,"airport transfers, corporate, events","Mercedes S-Class, Mercedes V-Class","Address: 14 Hazelwood Grove, Worksop",S80 3EW,https://www.facebook.com/MBExecutiveChauffeurs/
Sentura Chauffeurs,https://senturachauffeurs.co.uk/,info@senturachauffeurs.co.uk,+44 1246 690012,Chesterfield / Sheffield,"airport transfers, corporate, events, weddings","Mercedes S-Class, Mercedes E-Class, Mercedes V-Class, BMW 7 Series","Trading address (site): 7 Sheffield Road, Chesterfield",S41 7LL,
Chauffeur Service Sheffield,https://chauffeurservicesheffield.co.uk/,info@chauffeurservicesheffield.co.uk,+44 114 419 0610,Sheffield,"airport transfers, corporate, events, weddings","Mercedes S-Class, Mercedes V-Class","Trading address (directory): Eyre Street, Sheffield City Centre",S1 4QZ,
JONNY‑ROCKS Cardiff,https://www.luxurychauffeurhirecardiff.co.uk/,cardiff@jonny-rocks.co.uk,+44 333 772 6054,Cardiff,"airport transfers, corporate, events, VIP","Mercedes S-Class, BMW 7 Series, Mercedes V-Class","Capital Tower, Greyfriars Road, Cardiff",CF10 3AG,
EG Chauffeurs (Southampton Seaport),https://www.egchauffeurs.com/southampton-seaport-chauffeur-transfers/,info@egchauffeurs.com,+44 20 7117 2905,Richmond / London,"seaport transfers, airport transfers, corporate","Mercedes S-Class, Mercedes E-Class, Mercedes V-Class","Head office: 5 Kew Road, Richmond",TW9 2PR,
BEA Cars,https://www.beacars.co.uk/,info@beacars.co.uk,+44 1329 756060,Fareham,"airport transfers, corporate, executive car hire",Mercedes S-Class,"Address: 15 Old Turnpike, Fareham",PO16 7HB,https://www.facebook.com/beacars.co.uk/
Brighton City Chauffeur,https://brightoncitychauffeur.com/,info@brightoncitychauffeur.com,+44 1273 687 011,Brighton,"airport transfers, corporate, events, weddings","Mercedes S-Class, Mercedes E-Class, Mercedes V-Class","Address: 207 Mackie Avenue, Brighton, East Sussex",BN1 8SE,https://www.facebook.com/BRIGHTONCITYCHAUFFEUR1/
Sussex Chauffeur Company,https://sussexchauffeurcompany.co.uk/,bookings@sussexchauffeurcompany.co.uk,+44 7526 398043,Brighton / Sussex,"airport transfers, corporate, events, weddings","Mercedes S-Class, Mercedes E-Class, Mercedes V-Class",Postal HQ via Google/directory,BN2 1GW,https://www.facebook.com/sussexchauffeurcompany/
Sussex Business Class,https://sussexbusinessclass.co.uk/,bookings@sussexbusinessclass.co.uk,+44 7723 551277,Brighton,"airport transfers, corporate, executive travel","Mercedes S-Class, BMW 7 Series, Mercedes E-Class","Trading address (directory): 13a Ditchling Road, Brighton; email provided by expert",BN1 6JT,https://www.facebook.com/SussexBusinessClass/
Bluetick Chauffeur Services,https://bluetickchauffeurservices.co.uk/,bookings@bluetickchauffeurservices.co.uk,+44 20 3576 2232,London / Slough,"airport transfers, corporate, events","Mercedes S-Class, Mercedes V-Class","Registered office (Companies House): 128 City Road, London",EC1V 2NX,https://www.facebook.com/BluetickChauffeurServices/
JK Oxford Chauffeurs,https://www.jkoxfordchauffeurs.com/,enquiries@jkoxfordchauffeurs.com,+44 1865 423916,Oxfordshire / Oxford,"airport transfers, corporate, events, weddings","Mercedes S-Class, Mercedes V-Class",Address: 122 Dovehouse Close,OX29 4EY,https://www.facebook.com/jkoxfordchauffeurs/
Oxfordshire Chauffeurs,https://www.oxfordshirechauffeurs.com/,info@oxfordshirechauffeurs.com,+44 1865 238204,Oxford,"airport transfers, corporate, events","Mercedes S-Class, Mercedes V-Class",Postal HQ via Google/directory,OX29 4SX,https://www.facebook.com/oxfordshire.chauffeurs/
Five Star Oxford,https://www.5staroxford.com/,bookings@5staroxford.com,+44 1865 422222,Oxford,"airport transfers, corporate, VIP, events","Mercedes S-Class, Bentley, Rolls-Royce","Registered office: Regus, John Eccles House, Robert Robinson Avenue, Oxford",OX4 4GP,
SJ Chauffeurs,https://www.sjchauffeurs.co.uk/,info@sjchauffeurs.co.uk,+44 1628 232669,Oxford / Maidenhead,"airport transfers, corporate, events, weddings","Rolls-Royce Phantom, Bentley, Mercedes S-Class",Postal HQ via Google/directory,SL6 8EU,
Borjan,https://www.borjan.co.uk/,info@borjan.co.uk,+44 1865 303030,Oxford,"airport transfers, corporate, VIP, events","Mercedes S-Class, Mercedes V-Class, Rolls-Royce Phantom, Bentley","Registered office: 10 Fanshawe Place, Oxford",OX4 2TE,https://www.facebook.com/Borjanexecutivescars/
Milton Executive Cars,https://miltonexecutivecars.com/,info@miltonexecutivecars.com,+44 1223 525354,Cambridge / Ely,"airport transfers, corporate, events","Mercedes S-Class, Mercedes V-Class",Trading address references Ely; registered office changed to Loughton per Companies House,CB7 4BA,https://www.facebook.com/MiltonExecCars/
MK Executive Cars,https://www.mkexecutivecars.co.uk/,info@mkexecutivecars.co.uk,+44 7971 155804,Milton Keynes,"airport transfers, corporate, executive travel","Mercedes S-Class, Mercedes E-Class","Address: 123 Queensway, Bletchley, Milton Keynes",MK2 2DH,
MK Executive Travel,https://www.mkexecutivetravel.co.uk/,info@mkexecutivetravel.co.uk,+44 1908 393333,Milton Keynes,"airport transfers, corporate, tours","Mercedes S-Class, Mercedes E-Class",Postal HQ via Google/directory,MK14 6LY,
Brooklands Chauffeur Services,https://brooklandschauffeurservices.co.uk/contact/,info@brooklandschauffeurservices.co.uk,+44 1908 668779,Milton Keynes,"airport transfers, corporate, events","Mercedes S-Class, Mercedes E-Class","Exchange House, 494 Midsummer Boulevard, Milton Keynes",MK9 2EA,
P Chauffeurs Cardiff (Prestige Chauffeurs Cardiff),https://pchauffeurscardiff.co.uk/,bookings@prestigechauffeurscardiff.co.uk,+44 330 043 6403,Cardiff,"airport transfers, corporate, VIP","BMW 7 Series, Mercedes S-Class","Sophia House, 28 Cathedral Road; mobile +44 7716 170009",CF11 9LJ,https://www.facebook.com/prestigechauffeurscardiff/
ABC Executive Travel,https://abcexecutivetravel.co.uk/,info@abcexecutivetravel.co.uk,+44 7564 564 664,Cardiff / South Wales,"airport transfers, corporate, events","Mercedes S-Class, Mercedes V-Class",Barry & Cardiff locations; secondary phone +44 7886 689246; trading address (Barry) via Google/directory,CF62 6AF,https://www.facebook.com/abcexecutivetravelchauffeurcardiff/
Leicester Executive Chauffeurs,https://www.leicesterexecutivechauffeurs.co.uk/,travel@lec.ltd,+44 116 321 4161,Leicester,"airport transfers, corporate, events, weddings","Mercedes S-Class, Mercedes V-Class","Address: Leicester Road, Groby",LE6 0UW,https://www.facebook.com/LeicesterExecutiveChauffeurs/
Chauffeurs Hampshire,https://chauffeurs-hampshire.co.uk/,office@chauffeurs-hampshire.co.uk,+44 2393 090096,Portsmouth,"airport transfers, corporate, cruise transfers, executive","Mercedes S-Class, Mercedes V-Class","Address: 1 Burleigh Mews, Portsmouth",PO1 5RU,
VIP Luxury Chauffeur,https://www.vipluxurychauffeur.com/,info@vipluxurychauffeur.com,+44 1895 436498,Southampton,"seaport transfers, airport transfers, executive","Mercedes S-Class, Mercedes V-Class",Southampton seaport coverage; postal HQ via Google/directory (Threefield Lane) ,SO14 3LP,
First Class Chauffeur Services NI,https://www.firstclasschauffeurservicesni.co.uk/,info@firstclasschauffeurservicesni.co.uk,+44 7580 484042,Belfast,"airport transfers, corporate, VIP, events","Mercedes S-Class, Mercedes V-Class",Postal HQ via Google/directory (Donegal Square) ,BT1 5GS,https://www.facebook.com/firstclasschauffeurservicesNI/
