
post_title,post_url,post_id,comment_id,parent_id,author_name,date,comment_text
"See-Think-Do: A Content, Marketing, Measurement Business Framework",https://www.kaushik.net/avinash/see-think-do-content-marketing-measurement-business-framework/,5924,1778415,0,Sabelo,2022-01-22T05:24:58,"Hi Avi. I am currently doing the framework for my client but the new framework is split into two parts: predictive and intent signal. My question is: how does 'See Think Do Care' differ with the two different signals predictive and intent? What triggers go under predictive signals for 'See Think Do Care'? What triggers go under intent signals on 'Think Do Care'? Your support would be greatly appreciated. Regards, Sabelo."
"See-Think-Do: A Content, Marketing, Measurement Business Framework",https://www.kaushik.net/avinash/see-think-do-content-marketing-measurement-business-framework/,5924,1440792,0,Bruno,2020-04-18T08:42:56,"Hi Avinash Kaushik! Excellent content. I can say that it is one of the best content on marketing strategies that I have had the opportunity to read in my entire life. Personally I was able to observe how important this content structure is to attract, analyze and convert users of my business. Thanks for the content!"
"See-Think-Do: A Content, Marketing, Measurement Business Framework",https://www.kaushik.net/avinash/see-think-do-content-marketing-measurement-business-framework/,5924,1329078,0,Ashutosh Singh,2019-06-06T09:39:14,"Thanks for the post! I really connected with the idea of the “coddle step”. It's so important to try and retain people; those people can do some footwork for you, i.e. they can pass the stuff off by word of mouth."
"See-Think-Do: A Content, Marketing, Measurement Business Framework",https://www.kaushik.net/avinash/see-think-do-content-marketing-measurement-business-framework/,5924,1325558,0,Samuel Jefferies,2019-05-20T09:27:11,Golden Avinash! I love this: Only consider a customer a customer if they've purchased twice from you.
"See-Think-Do: A Content, Marketing, Measurement Business Framework",https://www.kaushik.net/avinash/see-think-do-content-marketing-measurement-business-framework/,5924,1314102,0,Noticias de Angola,2019-04-06T14:43:34,"Also Facebook advertising is really great for the See phase because you can target a really broad category of people. So if you are looking for “People who wear clothes”, within Facebook you would just target people who have already said that they like clothes."
"See-Think-Do: A Content, Marketing, Measurement Business Framework",https://www.kaushik.net/avinash/see-think-do-content-marketing-measurement-business-framework/,5924,1281167,0,Abhinay,2018-12-17T01:03:48,"The audience perspective you explained from the end of Buyers is very good and acceptable, and the example stated about Modcloth has made me think of that, but the action to buy the product is totally in the hands of the audience. Really I am very thankful for this post, learned a bit new thing."
"See-Think-Do: A Content, Marketing, Measurement Business Framework",https://www.kaushik.net/avinash/see-think-do-content-marketing-measurement-business-framework/,5924,1280598,0,Oluwatobi Faboya,2018-12-14T23:24:01,"A very well written article. It has caused me to rethink what my marketing focus areas should be. Very helpful, thanks mate."
"See-Think-Do: A Content, Marketing, Measurement Business Framework",https://www.kaushik.net/avinash/see-think-do-content-marketing-measurement-business-framework/,5924,1271917,0,atul sharma,2018-11-22T22:33:52,"I liked the way you explained. I think this framework will help us understand most visitors who do not convert and, most importantly, segment them depending on the interactions they have had with the website. Well done."
"See-Think-Do: A Content, Marketing, Measurement Business Framework",https://www.kaushik.net/avinash/see-think-do-content-marketing-measurement-business-framework/,5924,1260673,0,ketan borhade,2018-10-04T23:40:45,Great post mate. Actually I am a digital marketer also working on content marketing. Yes it's important to create and post unique content. But it should be customer-oriented too. Write what people like to read and not what you love to write.
Blog Metrics: Six Recommendations for Measuring Your Success,https://www.kaushik.net/avinash/blog-metrics-six-recommendations-for-measuring-your-success/,316,682506,681762,Avinash Kaushik,2014-07-15T23:00:53,"Lea: Sadly I don't know of an alternative to the Technorati ranking system. Blogs themselves are on their way down as an object of care and hence companies are not investing in dedicated tools and metrics. Perhaps competitive intelligence systems, like Compete or SimilarWeb, might provide an alternative. Neither ranks only blogs, but we can identify our blog of interest and a few competitors and then use site rank as a proxy. Not a good one, but something.

Avinash."
Blog Metrics: Six Recommendations for Measuring Your Success,https://www.kaushik.net/avinash/blog-metrics-six-recommendations-for-measuring-your-success/,316,681762,0,Lea Synefakis-Pica,2014-07-14T08:14:21,"Hello Avinash! Another amazingly helpful post. I just read that Technorati quietly shut down its ranking system in May 2014. Given this development, do you know of another comparable source of blog popularity ranking we can take a look at? Thanks!"
Blog Metrics: Six Recommendations for Measuring Your Success,https://www.kaushik.net/avinash/blog-metrics-six-recommendations-for-measuring-your-success/,316,517819,0,Eli,2012-03-17T09:37:38,What an epic post Avinash!
Blog Metrics: Six Recommendations for Measuring Your Success,https://www.kaushik.net/avinash/blog-metrics-six-recommendations-for-measuring-your-success/,316,514486,0,Louis Blythe,2011-12-01T15:09:39,Great Post! You have really got me thinking about the way I blog! I am a photographer by trade and so often get caught up with image quality; it is only starting to occur to me that while interesting it is not a conversation starter. For my latest post I am going to try to engage and possibly spark controversy! Subscribing & Following!
Blog Metrics: Six Recommendations for Measuring Your Success,https://www.kaushik.net/avinash/blog-metrics-six-recommendations-for-measuring-your-success/,316,512202,0,Mary Crogan,2011-09-25T13:57:13,I'm about to launch a blog for my business unit and started thinking about analytics. I did a Google search and came across this post. It's EXACTLY what I was looking for – guidance on how to measure the impact of the blog and identify trends over time. Thank you!!
Blog Metrics: Six Recommendations for Measuring Your Success,https://www.kaushik.net/avinash/blog-metrics-six-recommendations-for-measuring-your-success/,316,505117,0,Rick Kocurek,2011-05-10T02:48:08,"Wow, that is a lot of information to take in, and I just wanted to start a blog; had no idea there was so much to consider."
Blog Metrics: Six Recommendations for Measuring Your Success,https://www.kaushik.net/avinash/blog-metrics-six-recommendations-for-measuring-your-success/,316,504422,0,Jeff,2011-04-12T11:20:04,Thanks for some real info (that still seems relevant in 2011). Lots of the quick research I've found only talks about visitors and ads and dollars and is about getting rich quick rather than monitoring longer term trends.
Blog Metrics: Six Recommendations for Measuring Your Success,https://www.kaushik.net/avinash/blog-metrics-six-recommendations-for-measuring-your-success/,316,500081,0,Sher Singh,2010-12-19T04:41:34,Great post. Sent here by yoast.com which mentioned that they got the idea from one of the excellent posts written here. I agree with the site. Really great work.
Blog Metrics: Six Recommendations for Measuring Your Success,https://www.kaushik.net/avinash/blog-metrics-six-recommendations-for-measuring-your-success/,316,497668,0,Avinash Kaushik,2010-11-25T17:47:20,MV: I am afraid I have not had time to address this issue on the blog. But if you want a latest blog metrics with updates then you can check out page number 257 in my new book Web Analytics 2.0 (in case you have it). For social media metrics please check out this blog post on Twitter analytics: Social Media Analytics: Twitter: Quantitative & Qualitative Metrics. -Avinash.
Blog Metrics: Six Recommendations for Measuring Your Success,https://www.kaushik.net/avinash/blog-metrics-six-recommendations-for-measuring-your-success/,316,497656,0,"MV, tech blogger",2010-11-24T22:44:48,Even though this was written in 2007 I find that most of them are still valid. Do you have an update to this post that includes social media metrics?
