Address,Street,City,Postal Code,Country,gpt_flag,gpt_flag_reason,internal_flag,internal_flag_details,unmapped_components,confidence,raw_input_for_model
"Unit 298-3741 King Street, Calgary, AB T1Y 6B4",Unit 298-3741 King Street,Calgary,T1Y 6B4,Canada,ok,"Standard Canadian address parsed with city, province, and postal code.",True,unmapped_extra_components,"{""province"": ""Alberta"", ""unit"": ""Unit 298""}",0.94,"Unit 298-3741 King Street, Calgary, AB T1Y 6B4"
"3642 Valley Road Apt 281, San Diego, CA 92101, USA",3642 Valley Road Apt 281,San Diego,92101,United States,ok,All core fields parsed clearly and match standard US address format.,True,unmapped_extra_components,"{""state"": ""CA"", ""unit"": ""Apt 281""}",0.99,"3642 Valley Road Apt 281, San Diego, CA 92101, USA"
"8539 Pine Street Apt 301, Dallas, TX 75205, USA",8539 Pine Street Apt 301,Dallas,75205,United States,ok,"Parsed US address with clear street, city, state, ZIP, and country.",True,unmapped_extra_components,"{""state"": ""TX"", ""unit"": ""Apt 301""}",0.98,"8539 Pine Street Apt 301, Dallas, TX 75205, USA"
"4993 Spring Avenue, Philadelphia, Pennsylvania 19101",4993 Spring Avenue,Philadelphia,19101,United States,ok,All core fields identified and formatted correctly.,True,unmapped_extra_components,"{""state"": ""Pennsylvania""}",0.97,"4993 Spring Avenue, Philadelphia, Pennsylvania 19101"
"366 Queens Road, Birmingham, UK, B1 1AA",366 Queens Road,Birmingham,B1 1AA,United Kingdom,ok,All core fields identified and formatted correctly.,False,,,0.97,"366 Queens Road, Birmingham, UK, B1 1AA"
"36 George Street, Adelaide, SA, 5038, Australia",36 George Street,Adelaide,5038,Australia,ok,All core fields identified; state captured in extra.,True,unmapped_extra_components,"{""state"": ""SA""}",0.97,"36 George Street, Adelaide, SA, 5038, Australia"
"454 Bridge Street, Liverpool L1 0AA, United Kingdom",454 Bridge Street,Liverpool,L1 0AA,United Kingdom,ok,Parsed standard UK address with clear components.,False,,,0.98,"454 Bridge Street, Liverpool L1 0AA, United Kingdom"
"688 Hunter Street, Perth WA 6005, Australia",688 Hunter Street,Perth,6005,Australia,ok,Parsed standard Australian address with clear components.,True,unmapped_extra_components,"{""state"": ""WA""}",0.94,"688 Hunter Street, Perth WA 6005, Australia"
"Unit 280-3051 College Street, Vancouver, BC V7Y 1G5",Unit 280-3051 College Street,Vancouver,V7Y 1G5,Canada,ok,"Standard Canadian address with clear unit, street, city, province, and postal code.",True,unmapped_extra_components,"{""province"": ""British Columbia"", ""unit"": ""Unit 280""}",0.9,"Unit 280-3051 College Street, Vancouver, BC V7Y 1G5"
"311 Collins Street, Brisbane 4101 QLD, Australia",311 Collins Street,Brisbane,4101,Australia,ok,"Standard Australian address parsed with clear city, state, and postcode.",True,unmapped_extra_components,"{""state"": ""QLD""}",0.9,"311 Collins Street, Brisbane 4101 QLD, Australia"
"255 Green Lane, Liverpool, L1 0AA, UK",255 Green Lane,Liverpool,L1 0AA,United Kingdom,ok,All core fields identified and formatted correctly.,False,,,0.96,"255 Green Lane, Liverpool, L1 0AA, UK"
"5898 Market Street, Dallas, TX, 75205, United States",5898 Market Street,Dallas,75205,United States,ok,Parsed standard US address with clear components.,True,unmapped_extra_components,"{""state"": ""TX""}",0.98,"5898 Market Street, Dallas, TX, 75205, United States"
"4285 River Drive, Philadelphia PA 19103",4285 River Drive,Philadelphia,19103,United States,ok,"Standard US address with clear city, state, and ZIP.",True,unmapped_extra_components,"{""state"": ""PA""}",0.97,"4285 River Drive, Philadelphia PA 19103"
"130 Alexandra Road, Liverpool L2 2DH, United Kingdom",130 Alexandra Road,Liverpool,L2 2DH,United Kingdom,ok,"Standard UK address with clear street, city, postal code, and country.",False,,,0.98,"130 Alexandra Road, Liverpool L2 2DH, United Kingdom"
"4574 Front Street, Toronto, ON M5A 1A1, Canada",4574 Front Street,Toronto,M5A 1A1,Canada,ok,"Parsed Canadian address with clear street, city, province, and postal code.",True,unmapped_extra_components,"{""province"": ""ON""}",0.96,"4574 Front Street, Toronto, ON M5A 1A1, Canada"
8742 Wellington Street Toronto ON M5A 1A1 Canada,8742 Wellington Street,Toronto,M5A 1A1,Canada,ok,All core fields identified and formatted correctly.,True,unmapped_extra_components,"{""province"": ""ON""}",0.96,8742 Wellington Street Toronto ON M5A 1A1 Canada
"Unit 112-6674 Spadina Avenue, Vancouver, BC V7Y 1G5",Unit 112-6674 Spadina Avenue,Vancouver,V7Y 1G5,Canada,ok,"Parsed Canadian address with unit, city, province code, and postal code correctly.",True,unmapped_extra_components,"{""province"": ""BC"", ""unit"": ""Unit 112""}",0.98,"Unit 112-6674 Spadina Avenue, Vancouver, BC V7Y 1G5"
"Pitt Street 602, 2000 Sydney NSW Australia",602 Pitt Street,Sydney,2000,Australia,ok,Parsed Australian address; reversed street number interpreted as standard format.,True,unmapped_extra_components,"{""state"": ""NSW""}",0.94,"Pitt Street 602, 2000 Sydney NSW Australia"
"51 Kings Street, Birmingham, B2 4QA, UK",51 Kings Street,Birmingham,B2 4QA,United Kingdom,ok,All core fields present and consistent for a UK address.,False,,,0.93,"51 Kings Street, Birmingham, B2 4QA, UK"
"237 Bridge Street, Liverpool L8 5ST, United Kingdom",237 Bridge Street,Liverpool,L8 5ST,United Kingdom,ok,All core fields identified and formatted correctly.,False,,,0.98,"237 Bridge Street, Liverpool L8 5ST, United Kingdom"
"445 London Road, Liverpool L1 0AA, United Kingdom",445 London Road,Liverpool,L1 0AA,United Kingdom,ok,All core fields identified and formatted correctly.,False,,,0.97,"445 London Road, Liverpool L1 0AA, United Kingdom"
"9061 Maple Avenue, Toronto, ON, M6G 1C4, Canada",9061 Maple Avenue,Toronto,M6G 1C4,Canada,ok,"Parsed Canadian address with clear city, province, and postal code.",True,unmapped_extra_components,"{""province"": ""ON""}",0.97,"9061 Maple Avenue, Toronto, ON, M6G 1C4, Canada"
"881 Hunter Street, Adelaide, SA, 5042, Australia",881 Hunter Street,Adelaide,5042,Australia,ambiguous,"Australian suburb/postcode (5042) typically corresponds to suburbs near Adelaide, not the city name ‘Adelaide’; possible locality-postcode mismatch.",True,unmapped_extra_components,"{""state"": ""SA""}",0.6,"881 Hunter Street, Adelaide, SA, 5042, Australia"
"8714 Richmond Street, V5K 0A1 Vancouver, BC",8714 Richmond Street,Vancouver,V5K 0A1,Canada,ok,"Parsed Canadian address with clear city, province, and postal code.",True,unmapped_extra_components,"{""province"": ""British Columbia""}",0.9,"8714 Richmond Street, V5K 0A1 Vancouver, BC"
"146 The Avenue, Manchester M1 1AD, United Kingdom",146 The Avenue,Manchester,M1 1AD,United Kingdom,ok,All core fields identified and formatted correctly.,False,,,0.98,"146 The Avenue, Manchester M1 1AD, United Kingdom"
"104 King Street, 5038, Adelaide, SA",104 King Street,Adelaide,5038,Australia,ok,"Parsed as an Australian address with clear street, city, state, and postcode.",True,unmapped_extra_components,"{""state"": ""SA""}",0.93,"104 King Street, 5038, Adelaide, SA"
"8731 Bloor Street, Vancouver, BC V5L 1A9, Canada",8731 Bloor Street,Vancouver,V5L 1A9,Canada,ok,All core fields identified and formatted correctly.,True,unmapped_extra_components,"{""province"": ""BC""}",0.9,"8731 Bloor Street, Vancouver, BC V5L 1A9, Canada"
811 George Street Melbourne VIC 3001,811 George Street,Melbourne,3001,Australia,ok,"Parsed Australian address with clear street, city, state, and postal code.",True,unmapped_extra_components,"{""state"": ""VIC""}",0.94,811 George Street Melbourne VIC 3001
"2741 Bay Street, Toronto, ON, M4E 2S8, Canada",2741 Bay Street,Toronto,M4E 2S8,Canada,ok,"Standard Canadian address with clear city, province, and postal code.",True,unmapped_extra_components,"{""province"": ""ON""}",0.98,"2741 Bay Street, Toronto, ON, M4E 2S8, Canada"
"University Avenue 6191, Toronto, M4B 1B3, ON, Canada",6191 University Avenue,Toronto,M4B 1B3,Canada,ok,"Parsed street number/name, city, Canadian postal code, province, and country clearly from the input.",True,unmapped_extra_components,"{""province"": ""ON""}",0.86,"University Avenue 6191, Toronto, M4B 1B3, ON, Canada"
"6152 Market Street, New York, New York 10010",6152 Market Street,New York,10010,United States,ambiguous,Street name and ZIP code are inconsistent for New York City; possible addressing error or different city intended.,True,unmapped_extra_components,"{""state"": ""New York""}",0.62,"6152 Market Street, New York, New York 10010"
"Lincoln Avenue 9456, Austin, TX 78705",9456 Lincoln Avenue,Austin,78705,United States,ok,"Parsed US address with clear city, state, and ZIP; normalized street number order.",True,unmapped_extra_components,"{""state"": ""TX""}",0.92,"Lincoln Avenue 9456, Austin, TX 78705"
"114 Mill Lane, Manchester, M4 5JY, UK",114 Mill Lane,Manchester,M4 5JY,United Kingdom,ok,"Standard UK address with clear street, city, and postcode.",False,,,0.97,"114 Mill Lane, Manchester, M4 5JY, UK"
"128 Mill Lane, W1A 0AX, London, United Kingdom",128 Mill Lane,London,W1A 0AX,United Kingdom,ok,Standard UK address with valid London postcode formatting.,False,,,0.9,"128 Mill Lane, W1A 0AX, London, United Kingdom"
"Pitt Street 961, 6008 Perth WA Australia",961 Pitt Street,Perth,6008,Australia,ok,Standard Australian address parsed with clear components.,True,unmapped_extra_components,"{""state"": ""WA""}",0.86,"Pitt Street 961, 6008 Perth WA Australia"
"1410 Park Lane, San Diego CA 92101",1410 Park Lane,San Diego,92101,United States,ok,"Standard US address parsed with clear city, state, and ZIP.",True,unmapped_extra_components,"{""state"": ""CA""}",0.97,"1410 Park Lane, San Diego CA 92101"
"Flat 36, 270 Alexandra Road, Birmingham, B2 4QA","Flat 36, 270 Alexandra Road",Birmingham,B2 4QA,United Kingdom,ok,All core fields identified with valid UK postcode and city.,True,unmapped_extra_components,"{""unit"": ""Flat 36""}",0.97,"Flat 36, 270 Alexandra Road, Birmingham, B2 4QA"
"770 Market Street, Los Angeles, CA, 90210, United States",770 Market Street,Beverly Hills,90210,United States,ambiguous,City and ZIP code conflict; chose Beverly Hills as it matches ZIP 90210 for mailing.,True,unmapped_extra_components,"{""state"": ""CA""}",0.66,"770 Market Street, Los Angeles, CA, 90210, United States"
"Unit 94/135 William Street, Adelaide SA 5000",Unit 94/135 William Street,Adelaide,5000,Australia,ok,"Standard Australian address with clear city, state, and postcode.",True,unmapped_extra_components,"{""state"": ""SA"", ""unit"": ""94""}",0.95,"Unit 94/135 William Street, Adelaide SA 5000"
"8599 Bay Street, Vancouver BC V7Y 1G5",8599 Bay Street,Vancouver,V7Y 1G5,Canada,ok,"Parsed standard Canadian address with clear city, province, and postal code.",True,unmapped_extra_components,"{""province"": ""British Columbia""}",0.95,"8599 Bay Street, Vancouver BC V7Y 1G5"
"Maple Drive 9793, New York, NY 10003",9793 Maple Drive,New York,10003,United States,ok,Parsed US address with state and ZIP; reordered street number and name to standard format.,True,unmapped_extra_components,"{""state"": ""NY""}",0.9,"Maple Drive 9793, New York, NY 10003"
6193 King Street Toronto ON M4E 2S8 Canada,6193 King Street,Toronto,M4E 2S8,Canada,ok,All core fields identified clearly,True,unmapped_extra_components,"{""province"": ""Ontario""}",0.98,6193 King Street Toronto ON M4E 2S8 Canada
"Bay Street 3234, Montreal, H3A 0G4, QC, Canada",3234 Bay Street,Montreal,H3A 0G4,Canada,ok,All core fields parsed and normalized.,True,unmapped_extra_components,"{""province"": ""Quebec""}",0.86,"Bay Street 3234, Montreal, H3A 0G4, QC, Canada"
"183 Manor Road, Liverpool, L4 5SQ, UK",183 Manor Road,Liverpool,L4 5SQ,United Kingdom,ok,All core fields identified and formatted correctly.,False,,,0.97,"183 Manor Road, Liverpool, L4 5SQ, UK"
"355 Queens Road, Birmingham, B4 7SL, UK",355 Queens Road,Birmingham,B4 7SL,United Kingdom,ok,"Standard UK address with clear street, city, and postcode.",False,,,0.98,"355 Queens Road, Birmingham, B4 7SL, UK"
"9 The Avenue, London, SE1 7PB, UK",9 The Avenue,London,SE1 7PB,United Kingdom,ok,All core fields identified and formatted correctly.,False,,,0.98,"9 The Avenue, London, SE1 7PB, UK"
"3874 Broadway, New York, NY 10010, USA",3874 Broadway,New York,10010,United States,ambiguous,ZIP code 10010 may not match the given Broadway street number in New York; possible component mismatch.,True,unmapped_extra_components,"{""state"": ""NY""}",0.83,"3874 Broadway, New York, NY 10010, USA"
358 Bridge Street Liverpool L4 5SQ UK,358 Bridge Street,Liverpool,L4 5SQ,United Kingdom,ok,All core fields identified and formatted correctly.,False,,,0.97,358 Bridge Street Liverpool L4 5SQ UK
"208 Bridge Street, London, UK, NW1 2DB",208 Bridge Street,London,NW1 2DB,United Kingdom,ok,Parsed standard UK address with clear components.,False,,,0.9,"208 Bridge Street, London, UK, NW1 2DB"
"University Avenue 7743, Calgary, T2P 2M5, AB, Canada",7743 University Avenue,Calgary,T2P 2M5,Canada,ok,Parsed Canadian address with province and normalized street order.,True,unmapped_extra_components,"{""province"": ""Alberta""}",0.92,"University Avenue 7743, Calgary, T2P 2M5, AB, Canada"
"Alexandra Road 418, LS6 1QF Leeds, UK",418 Alexandra Road,Leeds,LS6 1QF,United Kingdom,ok,"Parsed UK address with clear street, city, postal code, and country.",False,,,0.94,"Alexandra Road 418, LS6 1QF Leeds, UK"
"4238 Church Street, Philadelphia, Pennsylvania 19103",4238 Church Street,Philadelphia,19103,United States,ok,Parsed standard US address with clear components.,True,unmapped_extra_components,"{""state"": ""Pennsylvania""}",0.98,"4238 Church Street, Philadelphia, Pennsylvania 19103"
"5528 Main Street, Ottawa, ON, K1A 0B1, Canada",5528 Main Street,Ottawa,K1A 0B1,Canada,ok,All core fields identified and formatted correctly.,True,unmapped_extra_components,"{""province"": ""ON""}",0.99,"5528 Main Street, Ottawa, ON, K1A 0B1, Canada"
"9458 Maple Avenue, Vancouver BC V7Y 1G5",9458 Maple Avenue,Vancouver,V7Y 1G5,Canada,ok,"Standard Canadian address with clear city, province, and postal code.",True,unmapped_extra_components,"{""province"": ""British Columbia""}",0.98,"9458 Maple Avenue, Vancouver BC V7Y 1G5"
"216 Elm Street Apt 57, Philadelphia, PA 19103, USA",216 Elm Street Apt 57,Philadelphia,19103,United States,ok,"Parsed US address with city, state, ZIP, and unit clearly identified.",True,unmapped_extra_components,"{""state"": ""PA"", ""unit"": ""Apt 57""}",0.99,"216 Elm Street Apt 57, Philadelphia, PA 19103, USA"
"3085 Maple Avenue, K1R 6B1 Ottawa, ON",3085 Maple Avenue,Ottawa,K1R 6B1,Canada,ok,"Parsed Canadian address with clear city, postal code, and province.",True,unmapped_extra_components,"{""province"": ""ON""}",0.94,"3085 Maple Avenue, K1R 6B1 Ottawa, ON"
"Carlton Street 7477, Montreal, H2Y 1C6, QC, Canada",7477 Carlton Street,Montreal,H2Y 1C6,Canada,ok,Standardized street number order; other fields align with Canadian addressing conventions.,True,unmapped_extra_components,"{""province"": ""Quebec""}",0.87,"Carlton Street 7477, Montreal, H2Y 1C6, QC, Canada"
"Unit 10/807 Lonsdale Street, Melbourne VIC 3004",Unit 10/807 Lonsdale Street,Melbourne,3004,Australia,ok,"Parsed Australian address with unit, city, state, and postcode clearly indicated.",True,unmapped_extra_components,"{""state"": ""VIC"", ""unit"": ""Unit 10""}",0.96,"Unit 10/807 Lonsdale Street, Melbourne VIC 3004"
"744 Queen Street, Melbourne VIC 3006, Australia",744 Queen Street,Melbourne,3006,Australia,ok,"Standard Australian address parsed with clear city, state, and postal code.",True,unmapped_extra_components,"{""state"": ""VIC"", ""province"": ""Victoria""}",0.94,"744 Queen Street, Melbourne VIC 3006, Australia"
"426 Adelaide Street, Adelaide, SA, 5038, Australia",426 Adelaide Street,Adelaide,5038,Australia,ok,Parsed components align with standard Australian address format.,True,unmapped_extra_components,"{""state"": ""SA""}",0.9,"426 Adelaide Street, Adelaide, SA, 5038, Australia"
"1622 Wellington Street, Vancouver, BC, V6B 2W9, Canada",1622 Wellington Street,Vancouver,V6B 2W9,Canada,ok,All core fields parsed with standard Canadian formatting.,True,unmapped_extra_components,"{""province"": ""BC""}",0.98,"1622 Wellington Street, Vancouver, BC, V6B 2W9, Canada"
"497 Queens Road, London W1A 0AX, United Kingdom",497 Queens Road,London,W1A 0AX,United Kingdom,ok,"Parsed street, city, postal code, and country clearly for a UK address.",False,,,0.95,"497 Queens Road, London W1A 0AX, United Kingdom"
"5495 Pine Street, San Antonio, TX 78203, USA",5495 Pine Street,San Antonio,78203,United States,ok,"Standard US address parsed with clear city, state, and ZIP.",True,unmapped_extra_components,"{""state"": ""TX""}",0.98,"5495 Pine Street, San Antonio, TX 78203, USA"
"9650 King Street, Toronto ON M6G 1C4",9650 King Street,Toronto,M6G 1C4,Canada,ok,Parsed Canadian address with recognized Toronto postal code and Ontario province.,True,unmapped_extra_components,"{""province"": ""Ontario""}",0.9,"9650 King Street, Toronto ON M6G 1C4"
"396 Murray Street, Perth 6008 WA, Australia",396 Murray Street,Perth,6008,Australia,ambiguous,"Postcode 6008 typically corresponds to Subiaco/West Perth, not central Perth; input lists Perth with 6008.",True,unmapped_extra_components,"{""state"": ""WA""}",0.73,"396 Murray Street, Perth 6008 WA, Australia"
"7722 Forest Avenue, Dallas TX 75205",7722 Forest Avenue,Dallas,75205,United States,ok,"Standard US address with clear city, state, and ZIP.",True,unmapped_extra_components,"{""state"": ""Texas""}",0.98,"7722 Forest Avenue, Dallas TX 75205"
"4592 Pine Street, Chicago 60614, USA",4592 Pine Street,Chicago,60614,United States,ok,"Standard US address with clear street, city, postal code, and country.",False,,,0.94,"4592 Pine Street, Chicago 60614, USA"
"914 Hunter Street, Sydney, NSW, 2000, Australia",914 Hunter Street,Sydney,2000,Australia,ok,"Standard Australian address with clear city, state, and postcode.",True,unmapped_extra_components,"{""state"": ""NSW""}",0.98,"914 Hunter Street, Sydney, NSW, 2000, Australia"
"Unit 229-6997 Spadina Avenue, Calgary, AB T1Y 6B4",Unit 229-6997 Spadina Avenue,Calgary,T1Y 6B4,Canada,ok,"Parsed Canadian address with unit, city, province, and postal code correctly.",True,unmapped_extra_components,"{""province"": ""Alberta"", ""unit"": ""Unit 229""}",0.96,"Unit 229-6997 Spadina Avenue, Calgary, AB T1Y 6B4"
"Unit 202-2014 Bay Street, Toronto, ON M4B 1B3",Unit 202-2014 Bay Street,Toronto,M4B 1B3,Canada,ok,"Parsed Canadian address with unit, city, province, and postal code correctly.",True,unmapped_extra_components,"{""province"": ""Ontario"", ""unit"": ""Unit 202""}",0.98,"Unit 202-2014 Bay Street, Toronto, ON M4B 1B3"
"34 Station Road, LS1 1BA, Leeds, United Kingdom",34 Station Road,Leeds,LS1 1BA,United Kingdom,ok,All core fields identified and formatted correctly.,False,,,0.97,"34 Station Road, LS1 1BA, Leeds, United Kingdom"
"Mill Lane 95, LS2 7DW Leeds, UK",95 Mill Lane,Leeds,LS2 7DW,United Kingdom,ok,All core fields identified and normalized.,False,,,0.95,"Mill Lane 95, LS2 7DW Leeds, UK"
"Unit 129-3636 Queen Street, Calgary, AB T3A 0E2",Unit 129-3636 Queen Street,Calgary,T3A 0E2,Canada,ok,"Parsed Canadian address with clear unit, city, province, and postal code.",True,unmapped_extra_components,"{""province"": ""AB"", ""unit"": ""129""}",0.93,"Unit 129-3636 Queen Street, Calgary, AB T3A 0E2"
"93 Station Road, London, UK, W1A 0AX",93 Station Road,London,W1A 0AX,United Kingdom,ok,"Standard UK address with clear street, city, and postcode.",False,,,0.9,"93 Station Road, London, UK, W1A 0AX"
496 London Road Birmingham B1 1AA UK,496 London Road,Birmingham,B1 1AA,United Kingdom,ok,Standard UK address parsed with clear city and postcode.,False,,,0.97,496 London Road Birmingham B1 1AA UK
"5128 Lincoln Avenue Apt 127, San Antonio, TX 78202, USA",5128 Lincoln Avenue Apt 127,San Antonio,78202,United States,ok,Standard US address parsed with clear components.,True,unmapped_extra_components,"{""state"": ""TX"", ""unit"": ""Apt 127""}",0.99,"5128 Lincoln Avenue Apt 127, San Antonio, TX 78202, USA"
"Wellington Street 3129, Montreal, H4A 3J2, QC, Canada",3129 Wellington Street,Montreal,H4A 3J2,Canada,ok,Parsed components with standard Canadian formatting; reordered street number before street name.,True,unmapped_extra_components,"{""province"": ""Quebec""}",0.86,"Wellington Street 3129, Montreal, H4A 3J2, QC, Canada"
"4113 Cedar Boulevard Apt 308, San Diego, CA 92102, USA",4113 Cedar Boulevard Apt 308,San Diego,92102,United States,ok,Parsed US address with clear components.,True,unmapped_extra_components,"{""state"": ""CA"", ""unit"": ""Apt 308""}",0.97,"4113 Cedar Boulevard Apt 308, San Diego, CA 92102, USA"
"155 High Street, Liverpool L1 0AA, United Kingdom",155 High Street,Liverpool,L1 0AA,United Kingdom,ok,All core fields identified and normalized.,False,,,0.98,"155 High Street, Liverpool L1 0AA, United Kingdom"
"5167 Market Street, Dallas, TX, 75201, United States",5167 Market Street,Dallas,75201,United States,ok,Standard US address with clear components.,True,unmapped_extra_components,"{""state"": ""TX""}",0.99,"5167 Market Street, Dallas, TX, 75201, United States"
"67 George Street, Perth, WA, 6003, Australia",67 George Street,Perth,6003,Australia,ok,Parsed standard Australian address with clear components.,True,unmapped_extra_components,"{""state"": ""WA""}",0.98,"67 George Street, Perth, WA, 6003, Australia"
5516 Yonge Street Vancouver BC V5L 1A9 Canada,5516 Yonge Street,Vancouver,V5L 1A9,Canada,ambiguous,"Street name conflicts with city/postal code; Yonge Street is not in Vancouver, while V5L 1A9 is a Vancouver postal code.",True,unmapped_extra_components,"{""province"": ""British Columbia""}",0.45,5516 Yonge Street Vancouver BC V5L 1A9 Canada
"Flat 24, 275 Manor Road, Leeds, LS2 7DW","Flat 24, 275 Manor Road",Leeds,LS2 7DW,United Kingdom,ok,"Parsed UK address with unit, city, and postcode confidently inferred.",True,unmapped_extra_components,"{""unit"": ""Flat 24""}",0.97,"Flat 24, 275 Manor Road, Leeds, LS2 7DW"
"43 Albert Street, Manchester, M60 1NW, UK",43 Albert Street,Manchester,M60 1NW,United Kingdom,ok,All core components identified unambiguously.,False,,,0.97,"43 Albert Street, Manchester, M60 1NW, UK"
816 Yonge Street Calgary AB T1Y 6B4 Canada,816 Yonge Street,Calgary,T1Y 6B4,Canada,ok,Parsed Canadian address with matching Calgary postal code and province.,True,unmapped_extra_components,"{""province"": ""Alberta""}",0.95,816 Yonge Street Calgary AB T1Y 6B4 Canada
"1121 Cedar Boulevard Apt 320, Los Angeles, CA 90001, USA",1121 Cedar Boulevard Apt 320,Los Angeles,90001,United States,ok,Standard US address with clear components.,True,unmapped_extra_components,"{""state"": ""CA"", ""unit"": ""Apt 320""}",0.98,"1121 Cedar Boulevard Apt 320, Los Angeles, CA 90001, USA"
"428 Manor Road, Birmingham B1 1AA, United Kingdom",428 Manor Road,Birmingham,B1 1AA,United Kingdom,ok,Standard UK address parsed with clear components.,False,,,0.97,"428 Manor Road, Birmingham B1 1AA, United Kingdom"
"203 Victoria Road, Birmingham, UK, B4 7SL",203 Victoria Road,Birmingham,B4 7SL,United Kingdom,ok,All core fields present and consistent for a UK address.,False,,,0.96,"203 Victoria Road, Birmingham, UK, B4 7SL"
853 Front Street Ottawa ON K2P 0A4 Canada,853 Front Street,Ottawa,K2P 0A4,Canada,ok,Parsed standard Canadian address with clear components.,True,unmapped_extra_components,"{""province"": ""Ontario""}",0.97,853 Front Street Ottawa ON K2P 0A4 Canada
"2746 King Street, Calgary, AB, T2G 0L8, Canada",2746 King Street,Calgary,T2G 0L8,Canada,ok,All core fields identified and formatted correctly.,True,unmapped_extra_components,"{""province"": ""AB""}",0.98,"2746 King Street, Calgary, AB, T2G 0L8, Canada"
"London Road 293, B3 2TA Birmingham, UK",293 London Road,Birmingham,B3 2TA,United Kingdom,ok,Normalized street number order; other fields clearly specified.,False,,,0.93,"London Road 293, B3 2TA Birmingham, UK"
"2025 Bloor Street, Toronto, ON M4E 2S8, Canada",2025 Bloor Street,Toronto,M4E 2S8,Canada,ok,Parsed standard Canadian address with province and postal code.,True,unmapped_extra_components,"{""province"": ""ON""}",0.9,"2025 Bloor Street, Toronto, ON M4E 2S8, Canada"
"4130 Bay Street, M5H 2N2 Toronto, ON",4130 Bay Street,Toronto,M5H 2N2,Canada,ok,"Parsed Canadian address with clear street, city, province, and postal code.",True,unmapped_extra_components,"{""province"": ""ON""}",0.97,"4130 Bay Street, M5H 2N2 Toronto, ON"
"3026 Maple Avenue, Calgary, AB T2P 2M5, Canada",3026 Maple Avenue,Calgary,T2P 2M5,Canada,ok,All core fields identified and formatted correctly.,True,unmapped_extra_components,"{""province"": ""AB""}",0.98,"3026 Maple Avenue, Calgary, AB T2P 2M5, Canada"
"353 Maple Avenue, Calgary AB T3A 0E2",353 Maple Avenue,Calgary,T3A 0E2,Canada,ok,"Parsed Canadian address with clear city, province, and postal code.",True,unmapped_extra_components,"{""province"": ""AB""}",0.95,"353 Maple Avenue, Calgary AB T3A 0E2"
"2877 College Street, Ottawa, ON, K1N 5R6, Canada",2877 College Street,Ottawa,K1N 5R6,Canada,ok,Standard Canadian address parsed with province and postal code formatted correctly.,True,unmapped_extra_components,"{""province"": ""ON""}",0.98,"2877 College Street, Ottawa, ON, K1N 5R6, Canada"
